Water Name,County,Species,Quantity,Ave Length,Date
ABERDUNK L FL,SEVIER,TIGER TROUT,200,3.84,07/18/2005 12:00:00 AM
"ABES POND, UPPER",SEVIER,CUTTHROAT,101,1.82,10/07/2005 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,3000,3.84,07/12/2005 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2305,2.65,07/13/2005 12:00:00 AM
ANDERSON L X-117,DUCHESNE,BROOK TROUT,576,2.65,07/14/2005 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1755,10.210000000000001,06/24/2005 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1755,10.210000000000001,06/24/2005 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2003,3.04,08/02/2005 12:00:00 AM
ANDREWS HOLE,SANPETE,BROOK TROUT,53,3.12,08/04/2005 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,626,10.42,06/22/2005 12:00:00 AM
"ANSON L ,EAST GR-13",DAGGETT,BROOK TROUT,724,2.65,07/15/2005 12:00:00 AM
ANTIMONY L EMW,GARFIELD,RAINBOW,501,2.78,06/29/2005 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,5993,5.51,07/12/2005 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,3011,6.08,08/17/2005 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,5244,1.87,10/11/2005 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,874,10.28,06/16/2005 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,870,12.77,07/22/2005 12:00:00 AM
"ASHLEY CR, N FK",UINTAH,RAINBOW,780,9.869999999999999,06/27/2005 12:00:00 AM
"ASHLEY CR, N FK",UINTAH,RAINBOW,787,9.9,07/21/2005 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,234,9.869999999999999,06/27/2005 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,232,9.9,07/21/2005 12:00:00 AM
ASHLEY TWIN L GR-35,UINTAH,BROOK TROUT,2104,2.65,07/15/2005 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1040,9.9,06/14/2005 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1040,10.45,06/27/2005 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1199,10.29,07/08/2005 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1042,10.14,07/21/2005 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,975,10.42,08/09/2005 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,502,3.09,08/10/2005 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,972,10.23,08/23/2005 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2334,9.65,04/05/2005 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2333,9,04/06/2005 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2333,9,04/06/2005 12:00:00 AM
BAKER RES,WASHINGTON,BROWN TROUT,468,15.14,12/22/2005 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,395,11.65,02/10/2005 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,564,12.1,03/01/2005 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,575,12.25,03/15/2005 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,443,12.95,04/01/2005 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,388,9.82,09/26/2005 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,599,11.06,11/15/2005 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,490,11.65,02/10/2005 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,564,12.1,03/01/2005 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,574,12.25,03/15/2005 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,442,12.95,04/01/2005 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,391,9.82,09/26/2005 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,601,11.06,11/15/2005 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,620,11.73,12/12/2005 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,1498,10.6,06/14/2005 12:00:00 AM
BARKER RES NCL,GARFIELD,RAINBOW,1171,10.039999999999999,06/15/2005 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,493,2.33,07/10/2005 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,391,10.039999999999999,06/15/2005 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,1726,10.15,06/20/2005 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,256,2.33,07/10/2005 12:00:00 AM
BARNEY L,SEVIER,TIGER TROUT,1000,3.84,08/01/2005 12:00:00 AM
BARNEY L,SEVIER,CUTTHROAT,7003,1.79,10/04/2005 12:00:00 AM
BASTIAN RES,GARFIELD,TIGER TROUT,1500,3.84,07/12/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4830,7.69,04/21/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4830,7.69,04/21/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4830,7.69,04/21/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4830,7.69,04/21/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4830,7.69,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4830,7.69,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4830,7.69,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4830,7.69,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4137,8.1,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4137,8.1,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4137,8.1,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4837,7.69,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4837,7.69,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4137,8.1,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,3110,7.69,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4837,7.69,04/22/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,3550,7.62,04/25/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4970,7.62,04/25/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,3550,7.62,04/25/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,3550,7.62,04/25/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,3550,7.62,04/25/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4970,7.62,04/25/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,2769,7.62,04/25/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6440,6.76,04/27/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6440,6.76,04/27/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6440,6.76,04/27/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6440,6.76,04/27/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6930,6.6,04/28/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6930,6.6,04/28/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4208,6.6,04/28/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6435,6.6,04/28/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,7425,6.6,04/28/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6930,6.6,04/28/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,6930,6.6,04/28/2005 12:00:00 AM
BEAR L,RICH,CUTTHROAT,44700,1.86,08/26/2005 12:00:00 AM
"BEAR R, E FK",SUMMIT,RAINBOW,301,10.18,06/29/2005 12:00:00 AM
"BEAR R, E FK",SUMMIT,RAINBOW,286,10.77,07/18/2005 12:00:00 AM
BEAR SPRINGS P,CARBON,TIGER TROUT,228,4.43,08/26/2005 12:00:00 AM
BEAR SPRINGS P,CARBON,TIGER TROUT,207,4.79,09/14/2005 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW ALBINO,104,11.6,06/27/2005 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,169,9.869999999999999,06/27/2005 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,150,10.77,07/13/2005 12:00:00 AM
BEAVER DAMS NBS,WAYNE,CUTTHROAT,2057,1.78,10/05/2005 12:00:00 AM
BEAVER L A-17,SUMMIT,BROOK TROUT,402,2.65,07/13/2005 12:00:00 AM
BEAVER L BR-10,SUMMIT,RAINBOW,1564,10.28,06/24/2005 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,702,10.35,05/24/2005 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,7992,5.6,07/06/2005 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,4495,5.69,07/12/2005 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,711,9.91,07/28/2005 12:00:00 AM
BEDGROUND L Z-46,DUCHESNE,GRAYLING ARCTIC,990,0.76,07/18/2005 12:00:00 AM
BEE TREE,SANPETE,BROOK TROUT,249,3.12,08/04/2005 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,481,9.75,06/03/2005 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,483,10.28,06/08/2005 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,483,10.28,06/21/2005 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,481,10.96,07/07/2005 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,306,12.77,07/20/2005 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,654,11.86,08/02/2005 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,481,11.16,08/17/2005 12:00:00 AM
BENNION L GR-134,SUMMIT,BROOK TROUT,764,2.65,07/15/2005 12:00:00 AM
BESS L BTN,GARFIELD,BROOK TROUT,256,2.33,07/10/2005 12:00:00 AM
BIG CR,RICH,BROWN TROUT,5008,5.68,08/01/2005 12:00:00 AM
"BIG HOLLOW, UPPER",GARFIELD,CUTTHROAT,410,1.91,10/11/2005 12:00:00 AM
BIG L,SEVIER,RAINBOW,1445,9.65,05/31/2005 12:00:00 AM
BIG L,SEVIER,RAINBOW,1703,9.710000000000001,05/31/2005 12:00:00 AM
BIG L BTS,GARFIELD,BROOK TROUT,197,2.33,07/10/2005 12:00:00 AM
BIG SPRING CR,RICH,CUTTHROAT,40617,3.14,10/12/2005 12:00:00 AM
BIRCH CR POND,RICH,RAINBOW,1170,9.65,06/03/2005 12:00:00 AM
BIRCH CR RES,RICH,TIGER TROUT,30160,3.01,06/17/2005 12:00:00 AM
BLACKSMITH FK,CACHE,RAINBOW,360,10,05/17/2005 12:00:00 AM
BLACKSMITH FK,CACHE,RAINBOW,390,10.96,06/29/2005 12:00:00 AM
BLANCHE L,SALT LAKE,BROOK TROUT,1501,2.65,07/19/2005 12:00:00 AM
BLANDING RES NO 3,SAN JUAN,RAINBOW,1505,10.67,04/19/2005 12:00:00 AM
BLANDING RES NO 3,SAN JUAN,RAINBOW,1500,10.56,05/23/2005 12:00:00 AM
BLANDING RES NO 3,SAN JUAN,RAINBOW,1558,10.95,08/26/2005 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,875,10,04/19/2005 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,875,10,04/19/2005 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,875,10,04/20/2005 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,875,10,04/20/2005 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,1166,10.75,05/16/2005 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,TIGER TROUT,5006,4.79,09/09/2005 12:00:00 AM
BLANDING RES NO 4,SAN JUAN,RAINBOW,3123,10.75,09/12/2005 12:00:00 AM
BLANEY RES,BEAVER,RAINBOW,197,10,06/25/2005 12:00:00 AM
BLIND L NBS,WAYNE,SPLAKE,500,5.36,07/11/2005 12:00:00 AM
BLIND L NBS,WAYNE,RAINBOW,2992,3.05,07/19/2005 12:00:00 AM
BLIND L NBS,WAYNE,CUTTHROAT,14972,1.78,10/05/2005 12:00:00 AM
BLIND L TLM,WAYNE,BROOK TROUT,196,3.04,08/02/2005 12:00:00 AM
BLUE L,SAN JUAN,RAINBOW,631,10.29,07/07/2005 12:00:00 AM
BLUE L,SANPETE,TIGER TROUT,1000,3.84,07/12/2005 12:00:00 AM
BLUE L,SANPETE,GRAYLING ARCTIC,990,0.76,07/18/2005 12:00:00 AM
BLUE L DF-1,UINTAH,BROOK TROUT,697,2.65,07/15/2005 12:00:00 AM
BLYTHE L Z-20,DUCHESNE,BROOK TROUT,697,2.65,07/13/2005 12:00:00 AM
BOBS HOLE NBS,WAYNE,BROOK TROUT,601,2.34,07/10/2005 12:00:00 AM
BONNIE L Z-6,DUCHESNE,BROOK TROUT,603,2.65,07/13/2005 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,481,9.75,06/03/2005 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,483,10.28,06/08/2005 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,483,10.28,06/21/2005 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,481,10.96,07/07/2005 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,306,12.77,07/20/2005 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,654,11.86,08/02/2005 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,481,11.16,08/17/2005 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1002,9.210000000000001,03/31/2005 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,501,8.94,04/11/2005 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,499,9.210000000000001,04/26/2005 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,750,14.94,05/13/2005 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,750,17.88,05/26/2005 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,750,17.88,06/10/2005 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,1250,17.88,06/23/2005 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,1125,14.94,07/18/2005 12:00:00 AM
