Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,195,2.34,07/07/2010 12:00:00 AM
ABES L W-30,SUMMIT,CUTTHROAT,4004,1.55,09/15/2010 12:00:00 AM
ABES RES,SEVIER,BROOK TROUT,110,3.57,07/15/2010 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,3003,2.34,07/07/2010 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2300,2.79,07/08/2010 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,330,10.42,06/30/2010 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,10.63,07/14/2010 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1010,10.72,07/28/2010 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1010,10.72,08/09/2010 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,784,10.83,08/17/2010 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,999,11.25,09/01/2010 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,330,10.42,06/30/2010 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,501,10.63,07/14/2010 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,505,10.72,07/28/2010 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,505,10.72,08/09/2010 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,735,10.83,08/17/2010 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,1001,11.25,09/01/2010 12:00:00 AM
AMLEN L X-99,DUCHESNE,BROOK TROUT,598,2.79,07/08/2010 12:00:00 AM
AMOEBA L X-90,DUCHESNE,CUTTHROAT,590,1.71,09/30/2010 12:00:00 AM
ANDERSON L X-117,DUCHESNE,BROOK TROUT,575,2.79,07/08/2010 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1752,8.74,06/18/2010 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2010,2.75,06/18/2010 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,871,9.550000000000001,07/06/2010 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,879,9.27,07/21/2010 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,755,10.87,08/02/2010 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,152,10.64,08/09/2010 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,868,10.14,08/20/2010 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,741,10.119999999999999,08/31/2010 12:00:00 AM
ANN L WR-74,DUCHESNE,CUTTHROAT,482,1.71,09/30/2010 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,1037,10.09,06/16/2010 12:00:00 AM
ANTIMONY L EMW,GARFIELD,RAINBOW,357,3.26,07/12/2010 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,604,10.08,06/28/2010 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,224,9,06/28/2010 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,6149,4.4,07/06/2010 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,686,9.35,07/08/2010 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,483,9.27,07/20/2010 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,3588,4.26,08/18/2010 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,10034,2.02,09/21/2010 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,501,9.41,06/02/2010 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,502,9.869999999999999,06/23/2010 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,1000,9.630000000000001,06/28/2010 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,500,9.84,07/22/2010 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,499,9.869999999999999,06/22/2010 12:00:00 AM
ASHLEY TWIN L GR-35,UINTAH,BROOK TROUT,2105,2.89,07/15/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,78,9.09,05/26/2010 12:00:00 AM
FISH L,SEVIER,SPLAKE,5006,3.64,08/23/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,612,10.46,05/26/2010 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,518,2.49,06/07/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,878,9.529999999999999,06/07/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,894,9.220000000000001,06/23/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,224,9,06/28/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,663,10.19,06/28/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,804,9.550000000000001,07/12/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,898,9.5,07/27/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,903,10.64,08/09/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1516,10.27,08/23/2010 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,937,10.119999999999999,09/01/2010 12:00:00 AM
ATHERLY RES,TOOELE,CHUB,2808,4.02,09/08/2010 12:00:00 AM
AVERETT CYN P,WASATCH,CUTTHROAT,500,2.43,10/19/2010 12:00:00 AM
BAKER L BR-45,SUMMIT,TIGER TROUT,351,2.34,07/14/2010 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,3135,8.24,03/09/2010 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,3173,8.199999999999999,03/16/2010 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2750,8.199999999999999,03/17/2010 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,473,10.52,02/09/2010 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,498,10.79,03/02/2010 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1401,9.869999999999999,05/17/2010 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1555,10.44,10/14/2010 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,2559,10.44,12/07/2010 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,473,10.52,02/09/2010 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,498,10.79,03/02/2010 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,1401,9.869999999999999,05/17/2010 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,1555,10.44,10/14/2010 12:00:00 AM
BARKER RES NCL,GARFIELD,RAINBOW,2003,10.07,05/25/2010 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,512,2.62,07/12/2010 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,1002,10.07,05/25/2010 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,263,2.62,07/12/2010 12:00:00 AM
BARNEY L,SEVIER,CUTTHROAT,1947,8.18,07/13/2010 12:00:00 AM
BARNEY L,SEVIER,TIGER TROUT,1012,3.85,07/14/2010 12:00:00 AM
BASTIAN RES,GARFIELD,TIGER TROUT,1501,2.36,07/19/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,18460,7.29,04/14/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,19028,7.29,04/15/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5145,7.14,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5488,7.14,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5488,7.14,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5145,7.14,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,19620,7.26,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4459,7.14,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5232,7.26,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5232,7.26,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5232,7.26,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,5232,7.26,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4578,7.26,04/27/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,18984,7.5,04/28/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,17052,7.77,05/03/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,3959,7.77,05/03/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,18984,7.5,05/03/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,43670,7.25,05/03/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4407,7.5,05/03/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,12789,7.77,05/03/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,2800,7.33,05/05/2010 12:00:00 AM
BEAR L,RICH,CUTTHROAT,4200,7.33,05/05/2010 12:00:00 AM
BEAR L,RICH,RAINBOW,5000,10,05/24/2010 12:00:00 AM
BEAR L,RICH,RAINBOW,5001,10.44,07/01/2010 12:00:00 AM
