ABERDUNK L FL,SEVIER,TIGER TROUT,225,3.36,08/06/2003
"ABES POND, UPPER",SEVIER,CUTTHROAT,97,1.81,10/15/2003
ACADEMY MILL RES,SANPETE,TIGER TROUT,1500,3.36,07/10/2003
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2294,2.62,06/30/2003
AMERICAN FK CR,UTAH,RAINBOW,498,9.25,06/03/2003
AMERICAN FK CR,UTAH,RAINBOW,576,10.45,06/17/2003
AMERICAN FK CR,UTAH,RAINBOW,600,10.59,07/02/2003
AMERICAN FK CR,UTAH,RAINBOW,701,10.74,07/14/2003
AMERICAN FK CR,UTAH,RAINBOW,700,9.83,07/29/2003
AMERICAN FK CR,UTAH,RAINBOW,700,9.83,08/11/2003
AMERICAN FK CR,UTAH,RAINBOW,703,9.83,08/28/2003
"AMERICAN FK CR, N FK",UTAH,RAINBOW,300,9.25,06/03/2003
"AMERICAN FK CR, N FK",UTAH,RAINBOW,150,10.45,06/17/2003
"AMERICAN FK CR, N FK",UTAH,RAINBOW,300,10.59,07/02/2003
"AMERICAN FK CR, N FK",UTAH,RAINBOW,300,9.83,07/29/2003
"AMERICAN FK CR, N FK",UTAH,RAINBOW,150,9.83,08/11/2003
AMOEBA L X-90,DUCHESNE,CUTTHROAT,624,1.76,10/03/2003
ANDERSON MEADOW,BEAVER,RAINBOW,799,10.21,06/06/2003
ANDERSON MEADOW,BEAVER,RAINBOW,1700,10.21,06/06/2003
ANDERSON MEADOW,BEAVER,RAINBOW,1251,10.21,06/23/2003
ANDERSON MEADOW,BEAVER,BROOK TROUT,2000,2.92,07/31/2003
ANDERSON MEADOW,BEAVER,RAINBOW,1250,10,08/04/2003
ANDREWS #1,SANPETE,BROOK TROUT,103,2.98,07/23/2003
ANNABELLA RES,SEVIER,RAINBOW,801,9.42,06/11/2003
ANTIMONY L EMW,GARFIELD,RAINBOW,539,3.69,06/12/2003
ASAY CR,GARFIELD,BROWN TROUT,6007,3.14,06/20/2003
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,798,9.53,05/30/2003
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,478,9.87,06/24/2003
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,504,8.41,07/04/2003
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,504,8.41,07/15/2003
"ASHLEY CR, N FK",UINTAH,RAINBOW,1001,9.92,06/30/2003
"ASHLEY CR, N FK",UINTAH,RAINBOW,584,8.14,07/22/2003
"ASHLEY CR, N FK",UINTAH,RAINBOW,430,10.03,07/22/2003
"ASHLEY CR, S FK",UINTAH,RAINBOW,302,9.92,06/30/2003
"ASHLEY CR, S FK",UINTAH,RAINBOW,182,8.14,07/22/2003
"ASHLEY CR, S FK",UINTAH,RAINBOW,138,10.03,07/22/2003
ASHLEY TWIN L GR-35,UINTAH,BROOK TROUT,2093,2.48,07/03/2003
ASPEN MIRROR L,KANE,RAINBOW,1150,9.48,05/23/2003
ASPEN MIRROR L,KANE,RAINBOW,1147,9.42,06/05/2003
ASPEN MIRROR L,KANE,RAINBOW,912,10.37,06/19/2003
ASPEN MIRROR L,KANE,RAINBOW,1065,10.37,06/26/2003
ASPEN MIRROR L,KANE,RAINBOW,959,10.28,07/03/2003
ASPEN MIRROR L,KANE,RAINBOW,958,10.74,07/18/2003
ASPEN MIRROR L,KANE,RAINBOW,958,9.83,07/25/2003
ASPEN MIRROR L,KANE,BROOK TROUT,500,2.92,07/30/2003
BAKER RES,WASHINGTON,RAINBOW,2529,9.26,03/12/2003
BAKER RES,WASHINGTON,RAINBOW,2501,9,03/20/2003
BAKER RES,WASHINGTON,RAINBOW,2016,8.2,03/25/2003
BAKER RES,WASHINGTON,BROWN TROUT,160,20.5,05/09/2003
BAKER RES,WASHINGTON,BROWN TROUT,102,20.5,05/12/2003
BAKER SP,BOX ELDER,RAINBOW,1000,10.86,01/24/2003
BAKER SP,BOX ELDER,RAINBOW,1316,11,02/27/2003
BAKER SP,BOX ELDER,RAINBOW,604,11.83,03/11/2003
BAKER SP,BOX ELDER,RAINBOW,751,12.74,04/10/2003
BAKER SP,BOX ELDER,RAINBOW,500,10.37,09/25/2003
BAKER SP,BOX ELDER,RAINBOW,253,9.8,12/18/2003
BAR M SP,BOX ELDER,RAINBOW,449,10.86,01/24/2003
BAR M SP,BOX ELDER,RAINBOW,1347,11.12,02/06/2003
BAR M SP,BOX ELDER,RAINBOW,604,11.83,03/11/2003
BAR M SP,BOX ELDER,RAINBOW,682,12.37,04/09/2003
BAR M SP,BOX ELDER,RAINBOW,500,10.37,09/25/2003
BAR M SP,BOX ELDER,RAINBOW,253,9.8,12/18/2003
BARKER RES NCL,GARFIELD,RAINBOW,1500,10,06/05/2003
BARKER RES NCL,GARFIELD,BROOK TROUT,500,2.62,07/06/2003
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,500,10,06/05/2003
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,250,2.62,07/06/2003
BARNEY L,SEVIER,TIGER TROUT,7200,3.99,08/11/2003
BARNEY L,SEVIER,CUTTHROAT,10000,1.94,10/21/2003
BASTIAN RES,GARFIELD,TIGER TROUT,1500,3.36,07/10/2003
BEAR L,RICH,CUTTHROAT,4433,7.79,04/28/2003
BEAR L,RICH,CUTTHROAT,4433,7.79,04/28/2003
BEAR L,RICH,CUTTHROAT,4774,7.79,04/28/2003
BEAR L,RICH,CUTTHROAT,4830,7.53,04/28/2003
BEAR L,RICH,CUTTHROAT,4830,7.53,04/28/2003
BEAR L,RICH,CUTTHROAT,4830,7.53,04/28/2003
BEAR L,RICH,CUTTHROAT,4830,7.53,04/28/2003
BEAR L,RICH,CUTTHROAT,4774,7.79,04/28/2003
BEAR L,RICH,CUTTHROAT,4774,7.79,04/29/2003
BEAR L,RICH,CUTTHROAT,4774,7.79,04/29/2003
BEAR L,RICH,CUTTHROAT,4911,7.79,04/29/2003
BEAR L,RICH,CUTTHROAT,4830,7.53,04/29/2003
BEAR L,RICH,CUTTHROAT,4830,7.53,04/29/2003
BEAR L,RICH,CUTTHROAT,4774,7.79,04/29/2003
BEAR L,RICH,CUTTHROAT,4830,7.53,04/29/2003
BEAR L,RICH,CUTTHROAT,4830,7.53,04/29/2003
BEAR L,RICH,CUTTHROAT,5520,7.53,04/30/2003
BEAR L,RICH,CUTTHROAT,5520,7.53,04/30/2003
BEAR L,RICH,CUTTHROAT,5520,7.53,04/30/2003
BEAR L,RICH,CUTTHROAT,5520,7.53,04/30/2003
BEAR L,RICH,CUTTHROAT,4981,7.77,04/30/2003
BEAR L,RICH,CUTTHROAT,4981,7.77,04/30/2003
BEAR L,RICH,CUTTHROAT,4394,7.81,04/30/2003
BEAR L,RICH,CUTTHROAT,4809,7.77,04/30/2003
BEAR L,RICH,CUTTHROAT,4844,7.75,05/01/2003
BEAR L,RICH,CUTTHROAT,4844,7.75,05/01/2003
BEAR L,RICH,CUTTHROAT,4844,7.75,05/01/2003
BEAR L,RICH,CUTTHROAT,4844,7.75,05/01/2003
