Water Name,County,Species,Quantity,Ave Length,Date
ABERDUNK L FL,SEVIER,TIGER TROUT,195,2.74,07/07/2008 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,2952,2.75,07/15/2008 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,1226,2.97,07/08/2008 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,1148,3.04,07/08/2008 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,499,10.28,06/11/2008 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,298,9.93,06/25/2008 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,10.77,07/10/2008 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,501,10.28,07/21/2008 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,398,10.14,08/05/2008 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,801,10.07,08/18/2008 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,800,10.6,09/02/2008 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,1000,10.28,06/11/2008 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,1002,9.93,06/25/2008 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,300,10.77,07/10/2008 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,301,10.28,07/21/2008 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,300,10.14,08/05/2008 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,301,10.07,08/18/2008 12:00:00 AM
AMOEBA L X-90,DUCHESNE,CUTTHROAT,595,1.42,09/24/2008 12:00:00 AM
ANDERSON MEADOW,BEAVER,BROOK TROUT,2124,3.33,06/24/2008 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,2001,9.6,06/24/2008 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1001,9.880000000000001,07/11/2008 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,994,9.74,07/21/2008 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1004,10.31,08/05/2008 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,868,9.949999999999999,08/19/2008 12:00:00 AM
ANDREWS #1,SANPETE,BROOK TROUT,112,3.74,08/06/2008 12:00:00 AM
ANN L WR-74,DUCHESNE,CUTTHROAT,347,1.42,09/24/2008 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,1001,9.82,06/12/2008 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,1173,9.89,06/03/2008 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,5440,5.03,06/23/2008 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,1192,9.91,07/03/2008 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,1126,9.74,07/23/2008 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,5040,2.01,09/16/2008 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,501,8.81,05/20/2008 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,501,8.869999999999999,06/03/2008 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,499,9.130000000000001,06/18/2008 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,502,9.44,07/01/2008 12:00:00 AM
