Water name,County,Species,Quantity,Average length,Date stocked
ABERDUNK L FL,SEVIER,TIGER TROUT,203,3.04,07/01/2013 12:00:00 AM
ABES RES,SEVIER,BROOK TROUT,170,2.56,08/05/2013 12:00:00 AM
ACADEMY MILL RES,SANPETE,TIGER TROUT,3006,3.08,07/10/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,497,9.35,03/19/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,497,9.35,03/19/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1001,9.61,03/25/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,999,9.42,04/08/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,500,13.57,04/12/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,BASS LARGEMOUTH,2900,3.54,04/13/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,SUNFISH BLUEGILL,18330,2.58,04/19/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1002,9.43,04/22/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1002,9.630000000000001,05/02/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1002,9.64,05/20/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,BASS LARGEMOUTH,3997,1.93,08/08/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1501,9.52,09/03/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1499,8.93,09/17/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1404,8.93,09/24/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1501,9.14,10/15/2013 12:00:00 AM
ADAMS RESERVOIR,DAVIS,RAINBOW,1001,9.14,10/28/2013 12:00:00 AM
ALEXANDER L A-1,SUMMIT,BROOK TROUT,2322,2.61,07/02/2013 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,499,9.74,05/15/2013 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,400,9.69,06/04/2013 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1001,9.27,06/17/2013 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1000,9.539999999999999,07/02/2013 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,1002,9.64,07/18/2013 12:00:00 AM
AMERICAN FK CR,UTAH,RAINBOW,500,9.449999999999999,08/21/2013 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,400,9.74,05/15/2013 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,400,9.69,06/04/2013 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,698,9.27,06/17/2013 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,799,9.539999999999999,07/02/2013 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,400,9.64,07/18/2013 12:00:00 AM
"AMERICAN FK CR, N FK",UTAH,RAINBOW,381,9.449999999999999,08/21/2013 12:00:00 AM
AMOEBA L X-90,DUCHESNE,CUTTHROAT,566,1.45,10/07/2013 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1541,8.27,06/10/2013 12:00:00 AM
ANDERSON MEADOW,BEAVER,RAINBOW,1801,8.970000000000001,06/26/2013 12:00:00 AM
ANGEL L WR-19,DUCHESNE,CUTTHROAT,1038,1.45,10/07/2013 12:00:00 AM
ANN L WR-74,DUCHESNE,CUTTHROAT,378,1.45,10/07/2013 12:00:00 AM
ANNABELLA RES,SEVIER,RAINBOW,829,8.11,05/27/2013 12:00:00 AM
"ANSON L ,EAST GR-13",DAGGETT,TIGER TROUT,720,3.08,07/08/2013 12:00:00 AM
ARTA L RC-23,DUCHESNE,CUTTHROAT,541,2.71,07/09/2013 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,702,10.23,04/30/2013 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,427,8.09,05/14/2013 12:00:00 AM
ASAY CR,GARFIELD,BROWN TROUT,6068,3.22,05/20/2013 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,424,8.26,06/04/2013 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,402,9.31,07/08/2013 12:00:00 AM
ASAY CR,GARFIELD,RAINBOW,389,9.77,08/06/2013 12:00:00 AM
ASAY CR,GARFIELD,CUTTHROAT,5119,2.31,09/18/2013 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,416,9.869999999999999,05/20/2013 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,291,2.95,05/31/2013 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,413,10,06/10/2013 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,412,10.28,06/26/2013 12:00:00 AM
ASHLEY CR (KIDS CAN),UINTAH,RAINBOW,416,10.44,07/25/2013 12:00:00 AM
"ASHLEY CR, S FK",UINTAH,RAINBOW,915,10,06/17/2013 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,527,10.23,04/29/2013 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1100,7.92,05/22/2013 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1084,8.26,06/04/2013 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1001,8.85,06/25/2013 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1110,9.31,07/09/2013 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,1060,9.23,07/18/2013 12:00:00 AM
ASPEN MIRROR L,KANE,BROOK TROUT,693,2.74,07/29/2013 12:00:00 AM
ASPEN MIRROR L,KANE,RAINBOW,999,9.77,08/06/2013 12:00:00 AM
AVERETT CYN P,WASATCH,TIGER TROUT,250,6.96,11/21/2013 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,2040,10.14,03/05/2013 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,357,10.17,03/06/2013 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,910,9.869999999999999,03/06/2013 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1300,9.869999999999999,03/06/2013 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1202,10.17,03/07/2013 12:00:00 AM
BAKER RES,WASHINGTON,RAINBOW,1190,10.17,03/07/2013 12:00:00 AM
BAKER RES,WASHINGTON,BROWN TROUT,5250,2.19,04/08/2013 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,1000,9.69,03/26/2013 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,726,9.14,11/14/2013 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,700,9.14,11/26/2013 12:00:00 AM
BAKER SP,BOX ELDER,RAINBOW,702,9.41,12/18/2013 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,499,10.11,02/12/2013 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,499,9.69,03/26/2013 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,501,9.220000000000001,10/22/2013 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,726,9.14,11/14/2013 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,700,9.14,11/26/2013 12:00:00 AM
BAR M SP,BOX ELDER,RAINBOW,699,9.41,12/18/2013 12:00:00 AM
BARKER RES NCL,GARFIELD,RAINBOW,1521,7.92,05/22/2013 12:00:00 AM
BARKER RES NCL,GARFIELD,BROOK TROUT,503,2.57,07/01/2013 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,RAINBOW,515,7.92,05/22/2013 12:00:00 AM
"BARKER RES,LOWER NCL",GARFIELD,BROOK TROUT,252,2.57,07/01/2013 12:00:00 AM
BARNEY L,SEVIER,CUTTHROAT,2233,7.12,06/04/2013 12:00:00 AM
BARNEY L,SEVIER,TIGER TROUT,508,4.54,08/13/2013 12:00:00 AM
BASTIAN RES,GARFIELD,TIGER TROUT,1503,3.08,07/10/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,2283,7.11,04/03/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,14430,8.5,04/29/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,14730,8.44,04/29/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,14730,8.44,04/29/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,12025,8.5,04/30/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,15424,8.49,04/30/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,19533,8.41,04/30/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,15778,8.449999999999999,05/01/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,15536,8.300000000000001,05/01/2013 12:00:00 AM
BEAR L,RICH,CUTTHROAT,14993,8.300000000000001,05/02/2013 12:00:00 AM
"BEAR R, E FK",SUMMIT,RAINBOW,579,10.19,06/19/2013 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,201,9.9,05/29/2013 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,200,9.970000000000001,06/10/2013 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,200,10.11,06/26/2013 12:00:00 AM
BEAVER CR,SUMMIT,RAINBOW,200,10.11,07/09/2013 12:00:00 AM
BEAVER DAMS NBS,WAYNE,BROOK TROUT,755,2.57,07/01/2013 12:00:00 AM
BEAVER DAMS NBS,WAYNE,CUTTHROAT,2013,2.05,09/16/2013 12:00:00 AM
BEAVER L A-17,SUMMIT,BROOK TROUT,275,2.61,07/02/2013 12:00:00 AM
BEAVER L BR-10,SUMMIT,RAINBOW,2000,10.25,06/04/2013 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,10127,2.3,04/10/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,1005,10.27,04/26/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,361,8.09,05/15/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,704,8.09,05/15/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,359,8.380000000000001,06/03/2013 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,10117,3.49,06/13/2013 12:00:00 AM
BEAVER R,BEAVER,BROWN TROUT,3104,3.49,06/13/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,361,8.85,06/26/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,689,8.970000000000001,06/26/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,342,9.31,07/08/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,597,9.460000000000001,07/22/2013 12:00:00 AM
BEAVER R,BEAVER,RAINBOW,374,9.460000000000001,07/22/2013 12:00:00 AM
BEE TREE,SANPETE,BROOK TROUT,252,2.73,07/25/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,512,9.23,05/23/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,1002,9.130000000000001,06/04/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,498,9.33,06/12/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,512,9.35,06/18/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,507,10.02,07/01/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,508,9.67,07/15/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,499,10.3,07/30/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,504,11.33,08/19/2013 12:00:00 AM
BENCHS POND,SANPETE,RAINBOW,502,9.25,09/10/2013 12:00:00 AM
BENNION L GR-134,SUMMIT,BROOK TROUT,774,2.61,07/03/2013 12:00:00 AM
BERT L GR-62,UINTAH,GRAYLING ARCTIC,276,3.22,10/07/2013 12:00:00 AM
BESS L BTN,GARFIELD,BROOK TROUT,260,2.55,07/01/2013 12:00:00 AM
BESS L BTN,GARFIELD,GRAYLING ARCTIC,299,3.13,09/16/2013 12:00:00 AM
BETH L A-6,SUMMIT,BROOK TROUT,500,2.61,07/02/2013 12:00:00 AM
BIG DOG L X-32,DUCHESNE,GRAYLING ARCTIC,949,3.13,09/20/2013 12:00:00 AM
BIG L,SEVIER,RAINBOW,5058,8.11,05/27/2013 12:00:00 AM
BIG L BTS,GARFIELD,BROOK TROUT,208,2.55,07/01/2013 12:00:00 AM
BIG L BTS,GARFIELD,GRAYLING ARCTIC,494,3.13,09/16/2013 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,2065,9.869999999999999,05/20/2013 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,2000,10,06/10/2013 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,2070,10.28,06/28/2013 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,1150,10.28,07/16/2013 12:00:00 AM
BIG SANDWASH RES,DUCHESNE,RAINBOW,5750,6.01,10/22/2013 12:00:00 AM
BIG SPRINGS POND,UTAH,CHUB,13193,1.81,11/18/2013 12:00:00 AM
